,bill,person,vote
463,sconres3-115,B001294,1
464,sconres3-115,B000574,0
465,sconres3-115,B001303,0
466,sconres3-115,B001278,0
467,sconres3-115,B001295,1
468,sconres3-115,B001296,0
469,sconres3-115,B001227,0
470,sconres3-115,B000755,1
471,sconres3-115,B001290,1
472,sconres3-115,B001283,1
473,sconres3-115,B001274,1
474,sconres3-115,B001284,1
475,sconres3-115,B001304,0
476,sconres3-115,B001285,0
477,sconres3-115,B001260,1
478,sconres3-115,B001297,1
479,sconres3-115,B001275,1
480,sconres3-115,B001305,1
481,sconres3-115,B001248,1
482,sconres3-115,B001286,0
483,sconres3-115,B001251,0
484,sconres3-115,B001289,1
485,sconres3-115,C000059,1
486,sconres3-115,C001037,0
487,sconres3-115,C001112,0
488,sconres3-115,C001097,0
489,sconres3-115,C001072,0
490,sconres3-115,C001103,1
491,sconres3-115,C001051,1
492,sconres3-115,C001090,0
493,sconres3-115,C001066,0
494,sconres3-115,C001091,0
495,sconres3-115,C000266,1
496,sconres3-115,C001076,1
497,sconres3-115,C001109,1
498,sconres3-115,C001080,0
499,sconres3-115,C001084,0
500,sconres3-115,C001101,0
501,sconres3-115,C001067,0
502,sconres3-115,C001049,0
503,sconres3-115,C001061,0
504,sconres3-115,C000537,0
505,sconres3-115,C001077,1
506,sconres3-115,C001068,0
507,sconres3-115,C001053,1
508,sconres3-115,C001093,1
509,sconres3-115,C001092,1
510,sconres3-115,C001108,1
511,sconres3-115,C001105,1
512,sconres3-115,C001062,1
513,sconres3-115,C001078,0
514,sconres3-115,C000714,0
515,sconres3-115,C001094,1
516,sconres3-115,C000754,0
517,sconres3-115,C001110,0
518,sconres3-115,C001059,0
519,sconres3-115,C001106,1
520,sconres3-115,C001069,0
521,sconres3-115,C001096,1
522,sconres3-115,C001087,1
523,sconres3-115,C001111,0
524,sconres3-115,C001038,0
525,sconres3-115,C001063,0
526,sconres3-115,C001048,1
527,sconres3-115,C000984,0
528,sconres3-115,C001107,1
529,sconres3-115,D000626,1
530,sconres3-115,D000598,0
531,sconres3-115,D000096,0
532,sconres3-115,D000619,1
533,sconres3-115,D000191,0
534,sconres3-115,D000197,0
535,sconres3-115,D000620,0
536,sconres3-115,D000216,0
537,sconres3-115,D000617,0
538,sconres3-115,D000627,0
539,sconres3-115,D000612,1
540,sconres3-115,D000604,0
541,sconres3-115,D000621,1
542,sconres3-115,D000623,0
543,sconres3-115,D000616,1
544,sconres3-115,D000610,0
545,sconres3-115,D000600,1
546,sconres3-115,D000624,0
547,sconres3-115,D000399,0
548,sconres3-115,D000625,1
549,sconres3-115,D000482,0
550,sconres3-115,D000614,1
551,sconres3-115,D000615,1
552,sconres3-115,D000533,1
553,sconres3-115,D000628,1
554,sconres3-115,E000288,0
555,sconres3-115,E000294,1
556,sconres3-115,E000179,0
557,sconres3-115,E000215,0
558,sconres3-115,E000297,0
559,sconres3-115,E000293,0
560,sconres3-115,E000296,0
561,sconres3-115,F000460,1
562,sconres3-115,F000464,1
563,sconres3-115,F000465,1
564,sconres3-115,F000466,0
565,sconres3-115,F000459,1
566,sconres3-115,F000461,1
567,sconres3-115,F000449,1
568,sconres3-115,F000454,0
569,sconres3-115,F000450,1
570,sconres3-115,F000462,0
571,sconres3-115,F000448,1
572,sconres3-115,F000372,1
573,sconres3-115,F000455,0
574,sconres3-115,G000571,0
575,sconres3-115,G000578,1
576,sconres3-115,G000579,1
577,sconres3-115,G000574,0
578,sconres3-115,G000559,0
579,sconres3-115,G000580,1
580,sconres3-115,G000563,1
581,sconres3-115,G000552,1
582,sconres3-115,G000581,0
583,sconres3-115,G000289,1
584,sconres3-115,G000565,1
585,sconres3-115,G000583,0
586,sconres3-115,G000566,1
587,sconres3-115,G000377,1
588,sconres3-115,G000560,1
589,sconres3-115,G000577,1
590,sconres3-115,G000546,1
591,sconres3-115,G000553,0
592,sconres3-115,G000410,0
593,sconres3-115,G000568,1
594,sconres3-115,G000551,0
595,sconres3-115,G000576,1
596,sconres3-115,G000558,1
597,sconres3-115,G000535,0
598,sconres3-115,H001050,0
599,sconres3-115,H001045,1
600,sconres3-115,H001052,1
601,sconres3-115,H001053,1
602,sconres3-115,H000324,0
603,sconres3-115,H001064,0
604,sconres3-115,H001036,1
605,sconres3-115,H001071,1
606,sconres3-115,H001077,1
607,sconres3-115,H001038,0
608,sconres3-115,H001072,1
609,sconres3-115,H001047,0
610,sconres3-115,H001065,1
611,sconres3-115,H001074,1
612,sconres3-115,H000874,0
613,sconres3-115,H001067,1
614,sconres3-115,H001068,0
615,sconres3-115,H001058,1
616,sconres3-115,H001059,1
617,sconres3-115,H001048,1
618,sconres3-115,H001073,1
619,sconres3-115,I000056,1
620,sconres3-115,J000032,0
621,sconres3-115,J000298,0
622,sconres3-115,J000294,0
623,sconres3-115,J000290,1
624,sconres3-115,J000297,1
625,sconres3-115,J000288,0
626,sconres3-115,J000299,1
627,sconres3-115,J000292,1
628,sconres3-115,J000126,0
629,sconres3-115,J000174,1
630,sconres3-115,J000255,0
631,sconres3-115,J000289,1
632,sconres3-115,J000295,1
633,sconres3-115,K000009,0
634,sconres3-115,K000386,0
635,sconres3-115,K000375,0
636,sconres3-115,K000385,0
637,sconres3-115,K000388,1
638,sconres3-115,K000376,1
639,sconres3-115,K000379,0
640,sconres3-115,K000389,0
641,sconres3-115,K000390,0
642,sconres3-115,K000380,0
643,sconres3-115,K000381,0
644,sconres3-115,K000188,0
645,sconres3-115,K000362,1
646,sconres3-115,K000210,1
647,sconres3-115,K000378,1
648,sconres3-115,K000387,1
649,sconres3-115,K000391,0
650,sconres3-115,K000382,0
651,sconres3-115,K000392,1
652,sconres3-115,L000573,0
653,sconres3-115,L000585,1
654,sconres3-115,L000578,1
655,sconres3-115,L000564,1
656,sconres3-115,L000567,1
657,sconres3-115,L000559,0
658,sconres3-115,L000560,0
659,sconres3-115,L000557,0
660,sconres3-115,L000566,1
661,sconres3-115,L000581,0
662,sconres3-115,L000586,0
663,sconres3-115,L000551,0
664,sconres3-115,L000263,0
665,sconres3-115,L000287,0
666,sconres3-115,L000587,1
667,sconres3-115,L000582,0
668,sconres3-115,L000563,0
669,sconres3-115,L000554,1
670,sconres3-115,L000565,0
671,sconres3-115,L000397,0
672,sconres3-115,L000576,1
673,sconres3-115,L000583,1
674,sconres3-115,L000584,1
675,sconres3-115,L000579,0
676,sconres3-115,L000480,0
677,sconres3-115,L000491,1
678,sconres3-115,L000569,1
679,sconres3-115,L000580,0
680,sconres3-115,L000570,0
681,sconres3-115,L000562,0
682,sconres3-115,M001193,0
683,sconres3-115,M000087,0
684,sconres3-115,M001185,0
685,sconres3-115,M001158,1
686,sconres3-115,M001179,1
687,sconres3-115,M001198,1
688,sconres3-115,M001184,0
689,sconres3-115,M001199,1
690,sconres3-115,M001163,0
691,sconres3-115,M001165,1
692,sconres3-115,M001157,1
693,sconres3-115,M001177,0
694,sconres3-115,M001143,0
695,sconres3-115,M001200,0
696,sconres3-115,M000312,0
697,sconres3-115,M001156,1
698,sconres3-115,M001180,1
699,sconres3-115,M001159,1
700,sconres3-115,M001166,0
701,sconres3-115,M001197,1
702,sconres3-115,M001187,1
703,sconres3-115,M001181,1
704,sconres3-115,M001137,0
705,sconres3-115,M001188,0
706,sconres3-115,M001189,1
707,sconres3-115,M001201,1
708,sconres3-115,M001194,1
709,sconres3-115,M001195,1
710,sconres3-115,M001160,0
711,sconres3-115,M001196,0
712,sconres3-115,M001190,1
713,sconres3-115,M001182,0
714,sconres3-115,M001202,0
715,sconres3-115,M001151,1
716,sconres3-115,N000002,0
717,sconres3-115,N000179,0
718,sconres3-115,N000015,0
719,sconres3-115,N000189,1
720,sconres3-115,N000184,1
721,sconres3-115,N000127,0
722,sconres3-115,N000188,0
723,sconres3-115,N000181,1
724,sconres3-115,O000171,0
725,sconres3-115,O000170,0
726,sconres3-115,O000168,1
727,sconres3-115,P000601,1
728,sconres3-115,P000034,0
729,sconres3-115,P000609,1
730,sconres3-115,P000613,0
731,sconres3-115,P000096,0
732,sconres3-115,P000594,1
733,sconres3-115,P000604,0
734,sconres3-115,P000588,1
735,sconres3-115,P000197,0
736,sconres3-115,P000593,0
737,sconres3-115,P000605,1
738,sconres3-115,P000608,0
739,sconres3-115,P000258,0
740,sconres3-115,P000597,0
741,sconres3-115,P000606,1
742,sconres3-115,P000607,0
743,sconres3-115,P000592,1
744,sconres3-115,P000611,1
745,sconres3-115,P000598,0
746,sconres3-115,P000602,0
747,sconres3-115,P000599,1
748,sconres3-115,P000523,0
749,sconres3-115,P000591,0
750,sconres3-115,Q000023,0
751,sconres3-115,R000606,0
752,sconres3-115,R000601,1
753,sconres3-115,R000585,1
754,sconres3-115,R000578,1
755,sconres3-115,R000586,1
756,sconres3-115,R000602,0
757,sconres3-115,R000597,1
758,sconres3-115,R000588,0
759,sconres3-115,R000591,1
760,sconres3-115,R000582,1
761,sconres3-115,R000575,1
762,sconres3-115,R000395,1
763,sconres3-115,R000409,1
764,sconres3-115,R000592,1
765,sconres3-115,R000607,1
766,sconres3-115,R000583,1
767,sconres3-115,R000435,1
768,sconres3-115,R000608,0
769,sconres3-115,R000580,1
770,sconres3-115,R000593,1
771,sconres3-115,R000598,1
772,sconres3-115,R000603,1
773,sconres3-115,R000486,0
774,sconres3-115,R000487,1
775,sconres3-115,R000599,0
776,sconres3-115,R000576,0
777,sconres3-115,R000515,0
778,sconres3-115,R000604,1
779,sconres3-115,R000609,0
780,sconres3-115,R000577,0
781,sconres3-115,R000570,1
782,sconres3-115,S001156,0
783,sconres3-115,S000051,1
784,sconres3-115,S001168,0
785,sconres3-115,S001176,1
786,sconres3-115,S001145,0
787,sconres3-115,S001150,0
788,sconres3-115,S001190,0
789,sconres3-115,S001180,0
790,sconres3-115,S001183,1
791,sconres3-115,S000185,0
792,sconres3-115,S001189,1
793,sconres3-115,S001157,0
794,sconres3-115,S000244,1
795,sconres3-115,S000248,0
796,sconres3-115,S000250,1
797,sconres3-115,S001185,0
798,sconres3-115,S001170,0
799,sconres3-115,S000344,0
800,sconres3-115,S000364,1
801,sconres3-115,S001154,1
802,sconres3-115,S001148,1
803,sconres3-115,S001191,0
804,sconres3-115,S001165,0
805,sconres3-115,S000480,0
806,sconres3-115,S001195,1
807,sconres3-115,S001172,1
808,sconres3-115,S000522,1
809,sconres3-115,S000583,1
810,sconres3-115,S000510,0
811,sconres3-115,S001199,1
812,sconres3-115,S001200,0
813,sconres3-115,S001175,0
814,sconres3-115,S001196,1
815,sconres3-115,S001192,1
816,sconres3-115,S001187,1
817,sconres3-115,S001201,0
818,sconres3-115,S001193,0
819,sconres3-115,T000472,0
820,sconres3-115,T000477,1
821,sconres3-115,T000478,1
822,sconres3-115,T000460,0
823,sconres3-115,T000193,0
824,sconres3-115,T000467,1
825,sconres3-115,T000238,1
826,sconres3-115,T000462,1
827,sconres3-115,T000470,1
828,sconres3-115,T000468,0
829,sconres3-115,T000469,0
830,sconres3-115,T000474,0
831,sconres3-115,T000475,1
832,sconres3-115,T000465,0
833,sconres3-115,T000463,1
834,sconres3-115,U000031,1
835,sconres3-115,V000129,1
836,sconres3-115,V000130,0
837,sconres3-115,V000131,0
838,sconres3-115,V000132,0
839,sconres3-115,V000081,0
840,sconres3-115,V000108,0
841,sconres3-115,W000812,1
842,sconres3-115,W000798,1
843,sconres3-115,W000791,1
844,sconres3-115,W000819,1
845,sconres3-115,W000813,1
846,sconres3-115,W000820,1
847,sconres3-115,W000799,0
848,sconres3-115,W000797,0
849,sconres3-115,W000187,0
